time,signal
31.27201,0.0659399
40.25407,0.08433299
56.08166,0.1167874
91.59409,0.1896699
245.2256,0.5051277
-368.9204,0.7561428
-105.6138,0.2154493
-61.66997,0.1252441
-43.53454,0.08803857
-33.61136,0.06769704
-27.33832,0.05485089
-23.00454,0.04598693
-19.82383,0.03949092
-17.38432,0.03451735
-15.44931,0.03058049
-13.87309,0.02738148
-12.56099,0.02472633
-11.44881,0.02248374
-10.49149,0.02056168
-9.656358,0.01889377
-8.919193,0.017431
-8.26163,0.01613658
-7.6694,0.01498231
-7.131289,0.01394646
-6.638304,0.01301213
-6.183121,0.01216623
-5.759667,0.01139862
-5.36285,0.01070173
-4.988313,0.01007017
-4.632276,0.009500541
-4.291366,0.008991282
-3.962539,0.00854273
-3.642973,0.008157091
-3.329981,0.007838459
-3.02092,0.007592788
-2.713116,0.007427757
-2.403803,0.007352575
-2.089982,0.007377488
-1.768317,0.007513511
-1.435014,0.007772133
-1.085562,0.00816553
-0.7145447,0.008707418
-0.3151634,0.009414593
0.1212549,0.01030926
0.6060988,0.01142233
1.154781,0.0127982
1.7888,0.01450191
2.539218,0.01663093
3.452856,0.01933577
4.603809,0.02285828
6.117177,0.02761031
8.221945,0.03434958
11.388,0.04463465
16.75607,0.06225366
28.00152,0.09941698
67.17555,0.2293943
-284.6805,0.9399232
-50.00193,0.1603047
-28.60998,0.08938085
-20.55079,0.06275012
-16.30242,0.04877396
-13.66742,0.04015138
-11.86597,0.03429189
-10.55144,0.03004425
-9.546271,0.02681893
-8.75003,0.02428267
-8.101697,0.02223305
-7.561965,0.02053988
-7.104446,0.01911572
-6.710703,0.01789963
-6.36749,0.01684781
-6.065026,0.01592804
-5.79595,0.01511603
-5.554589,0.01439312
-5.336508,0.01374475
-5.138204,0.01315947
-4.956856,0.01262801
-4.790154,0.01214285
-4.636225,0.01169788
-4.493488,0.01128799
-4.360651,0.01090895
-4.236558,0.01055712
-4.120353,0.01022954
-4.011162,0.009923592
-3.908314,0.009637034
